date,wla,global_lei,global_lei_8m,pct_g20_rising,cb_net_cutters,usmlei
1980-08-31,-40.706664144436616,99.54553,-1.1374618328942745,50.0,,-26.910602293455245
1980-09-30,-33.93973311299943,99.74381,-0.4858576507415222,50.0,,-18.057349271673655
1980-10-31,-24.238384378550897,99.89629,0.02751436325361567,70.0,,-9.338562821124764
1980-11-30,-12.638677236240847,99.98383,0.36698796296631997,50.0,,-4.437077741714378
1980-12-31,-28.785936242023933,100.0191,0.5594982936043777,50.0,,-4.783446546723304
1981-01-31,-31.67540039425036,100.0283,0.6567242714342427,60.0,,-7.957252838078536
1981-02-28,-31.32101474777764,100.0257,0.6856149342723512,60.0,,-11.62007050123643
1981-03-31,-10.475484730753504,100.0189,0.6581598539511475,60.0,,0.13886162468980945
1981-04-30,7.827430686812548,99.98883,0.5386633201506896,40.0,,18.982697408908948
1981-05-31,0.3452812269627126,99.91557,0.30344354766901915,40.0,,30.286849570461417
1981-06-30,-12.644131982862488,99.80959,-0.0024430674620248283,50.0,,17.44291742957234
1981-07-31,-21.130836327700077,99.69116,-0.3126309249952328,60.0,,6.826859347208608
1981-08-31,-26.258529794906345,99.56586,-0.5961987375145128,50.0,,-6.962547818837257
1981-09-30,-42.569511919878124,99.43084,-0.8480225597942876,50.0,,-23.872995272391602
1981-10-31,-50.54165015706073,99.29354,-1.0529517435488316,50.0,,-34.71207834614636
1981-11-30,-67.14049913529682,99.16076,-1.2053726313285296,50.0,,-42.02548753640821
1981-12-31,-56.34275053868964,99.03637,-1.308881454477671,40.0,,-36.58336452752382
1982-01-31,-55.246312511600195,98.90911,-1.393466017805764,27.27272727272727,,-36.61263566729557
1982-02-28,-57.87939485894158,98.71127,-1.5873293111411897,18.181818181818183,,-33.20904037349809
1982-03-31,-60.723318288827116,98.49746,-1.7811186746925785,18.181818181818183,,-37.93837694157984
1982-04-30,-66.45327285856877,98.28997,-1.9320884582308366,18.181818181818183,,-36.61984300002133
1982-05-31,-64.73545173955054,98.11342,-1.9993445567525043,18.181818181818183,,-35.29125104892404
1982-06-30,-54.78489520345779,97.98174,-1.968195100198443,27.27272727272727,,-31.199011074047153
1982-07-31,-64.2791240159231,97.91829,-1.8067461104950269,36.36363636363637,,-29.145813084985672
1982-08-31,-70.19831370671723,97.93353,-1.507047790354619,36.36363636363637,,-30.507608984183445
1982-09-30,-55.055370627934664,98.03388,-1.069186963285233,54.54545454545454,,-21.412370834264674
1982-10-31,-34.15009857699621,98.21173,-0.5208793258800029,63.63636363636363,,-12.090436530274598
1982-11-30,-15.994473625301833,98.44808,0.09061155469099447,72.72727272727273,,0.004648057724120358
1982-12-31,-0.19139115554184516,98.72718,0.7273059493515035,72.72727272727273,,7.532155448907194
1983-01-31,9.25119161211349,99.02967,1.3468175056252392,63.63636363636363,,14.137842580980895
1983-02-28,18.229778875431347,99.32619,1.8885347256277356,72.72727272727273,,21.117080948280513
1983-03-31,29.399173999293115,99.61814,2.3436195111050466,72.72727272727273,,36.83085707239037
1983-04-30,34.495290395565576,99.89701,2.693117502968434,72.72727272727273,,43.28347337777846
1983-05-31,47.43090828874961,100.1524,2.919768047077099,72.72727272727273,,51.35402557921241
1983-06-30,47.84602435849471,100.383,3.029670534954775,72.72727272727273,,61.227623160384105
1983-07-31,63.532040751458865,100.5823,3.021981119574818,81.81818181818183,,67.15931817644186
1983-08-31,51.74180384863251,100.7509,2.914446053448131,81.81818181818183,,70.30268489961483
1983-09-30,48.71270378011684,100.8934,2.7339794197439318,81.81818181818183,,70.2321990356574
1983-10-31,39.67888668637072,101.0126,2.5041800778078596,72.72727272727273,,69.75187436664436
1983-11-30,38.08113500576727,101.1085,2.2414472075786165,81.81818181818183,,65.63059140458739
1983-12-31,33.4329962991593,101.1778,1.9527662374259052,63.63636363636363,,64.0376906839493
1984-01-31,28.54603973155719,101.2063,1.6227964254999137,45.45454545454545,,60.60305077938506
1984-02-29,24.172609925258847,101.1846,1.2443892690344285,27.27272727272727,,57.07555119826007
1984-03-31,15.609636719459585,101.1106,0.820752593692319,27.27272727272727,,51.73288808819038
1984-04-30,6.6755206339846245,101.004,0.3954876223892114,18.181818181818183,,49.26822948850765
1984-05-31,1.0103286442153052,100.88,-0.0009760190095988719,18.181818181818183,,42.69929109254552
1984-06-30,-7.1644143653093275,100.7429,-0.36231656448418903,18.181818181818183,,36.606064516087315
1984-07-31,-21.76124964302629,100.6131,-0.6536904799699101,27.27272727272727,,24.992195032498138
1984-08-31,-15.617184052174293,100.4968,-0.8702432616320976,27.27272727272727,,24.39970980248225
1984-09-30,-13.999175544466505,100.3879,-1.0301505914200675,9.090909090909092,,19.865556139708534
1984-10-31,-12.945732940745021,100.2914,-1.1295646355104623,9.090909090909092,,15.491341092053137
1984-11-30,-10.043883379338496,100.2139,-1.1619204179026354,0.0,,15.09962409773868
1984-12-31,-6.480448657623611,100.157,-1.1306143465262295,18.181818181818183,,10.829339814028739
1985-01-31,1.7308767557884333,100.1163,-1.0506292136791586,18.181818181818183,,11.91358005490503
1985-02-28,7.727057239329154,100.0847,-0.9433720856313386,27.27272727272727,,9.501373077959293
1985-03-31,4.065688281447396,100.0628,-0.8166153994747276,36.36363636363637,,12.677826466553771
1985-04-30,1.5139658395865674,100.0412,-0.6969296626968031,36.36363636363637,,9.117756936179617
1985-05-31,8.379787047319116,100.0114,-0.6049719145262031,45.45454545454545,,8.2040987766302
1985-06-30,13.914605156282613,99.96596,-0.5559318233366639,36.36363636363637,,9.884808379745074
1985-07-31,27.658726560962332,99.90325,-0.5525508208520762,45.45454545454545,,13.562889570302637
1985-08-31,13.047446057482665,99.84142,-0.5577970948655775,45.45454545454545,,17.467522221752873
1985-09-30,9.781865891707518,99.78905,-0.5539707429931724,45.45454545454545,,18.07016864290811
1985-10-31,8.455118146686607,99.7542,-0.5265344119345201,54.54545454545454,,21.334453502544115
1985-11-30,15.751245059074131,99.73474,-0.48015552099211334,54.54545454545454,,22.325497353438692
1985-12-31,21.109788134094693,99.72697,-0.4210710382549223,45.45454545454545,,23.911033304401688
1986-01-31,17.48887521994037,99.72099,-0.36615859179217125,45.45454545454545,,19.0019958667684
1986-02-28,18.842193228208775,99.70453,-0.3358644739954997,54.54545454545454,,14.263262155056957
1986-03-31,23.97546316915527,99.68653,-0.3107147966803865,45.45454545454545,,14.767257499829348
1986-04-30,29.760975243728193,99.67351,-0.2769473678434764,54.54545454545454,3.8461538461538436,15.492456325539187
1986-05-31,26.669185943589618,99.6522,-0.2597916648292937,54.54545454545454,11.538461538461542,19.04783426786059
1986-06-30,25.190925106392527,99.634,-0.23818132054225316,45.45454545454545,-19.23076923076923,21.064673047481534
1986-07-31,15.748957159072749,99.62517,-0.2034210813812649,63.63636363636363,7.14285714285714,21.33970318952698
1986-08-31,15.12252077479736,99.62899,-0.15353143215682508,63.63636363636363,-7.142857142857145,20.92974756772196
1986-09-30,18.478016708145656,99.64564,-0.08997969334478739,63.63636363636363,0.0,21.17530461953674
1986-10-31,18.718637866594154,99.67433,-0.014740180934794012,72.72727272727273,7.14285714285714,24.049979600765678
1986-11-30,16.945881581647093,99.72754,0.09616071779423407,81.81818181818183,-7.142857142857145,25.203031495139836
1986-12-31,13.791745371599074,99.8215,0.27145021419956095,72.72727272727273,-7.142857142857145,23.692240567966177
1987-01-31,22.573381399154165,99.96631,0.5254939628712663,81.81818181818183,0.0,24.354561641938485
1987-02-28,21.506803653628857,100.1507,0.8298984343131792,90.9090909090909,-3.3333333333333326,29.055812306148365
1987-03-31,24.636213147157605,100.349,1.1291480958311553,100.0,-3.3333333333333326,29.502203210688585
1987-04-30,20.223556297834588,100.5451,1.3906661455024931,100.0,9.999999999999998,29.946056096956706
1987-05-31,18.660782130214486,100.7323,1.6028860942502519,100.0,3.3333333333333326,32.027982967164014
1987-06-30,22.963478364022357,100.8915,1.7302004743089014,100.0,9.999999999999998,28.176459316069977
1987-07-31,30.349133840386976,100.9972,1.7300704841894685,81.81818181818183,16.666666666666664,31.141000154185107
1987-08-31,31.284490477881967,101.0339,1.5839333253050683,72.72727272727273,-3.3333333333333326,32.661956143331736
1987-09-30,26.287850871814406,100.998,1.2986386314713911,63.63636363636363,3.3333333333333326,33.67708500335023
1987-10-31,6.680267045103452,100.9069,0.9205642975990429,45.45454545454545,-9.999999999999998,30.105639114332366
1987-11-30,3.9094030716770565,100.7924,0.5193326296516005,36.36363636363637,9.999999999999998,23.344186055139936
1987-12-31,3.408612976586752,100.6969,0.1802249781129177,58.333333333333336,23.33333333333333,19.6508045642029
1988-01-31,-6.785159944488169,100.6021,-0.12756865066143064,50.0,14.28571428571429,14.345797560105161
1988-02-29,-2.623908636357887,100.5628,-0.2964790941971813,58.333333333333336,-7.142857142857145,14.803318440137023
1988-03-31,-1.1730495688352438,100.5623,-0.3601205213446974,50.0,-9.999999999999998,16.037922515744206
1988-04-30,-1.1856549246200803,100.599,-0.32544241232419324,66.66666666666666,-23.333333333333332,21.214189700930465
1988-05-31,-1.8238661048827944,100.6641,-0.2145405104628395,75.0,-9.999999999999998,17.948689452863096
1988-06-30,-0.13641228561450391,100.7453,-0.055485623165708375,66.66666666666666,-30.0,17.100081007729475
1988-07-31,-4.066665818086648,100.8213,0.10609297831834397,58.333333333333336,-16.666666666666668,15.203489344065737
1988-08-31,-4.160856457450163,100.887,0.25348099584216754,66.66666666666666,-23.333333333333332,9.337345478002277
1988-09-30,8.249971211657051,100.9346,0.36333591387179354,66.66666666666666,-30.0,13.239010985078291
1988-10-31,30.920070098144283,100.9679,0.4341977845456313,66.66666666666666,-16.666666666666668,18.425172480753186
1988-11-30,26.5195450044425,100.99,0.46542582759794016,50.0,-23.333333333333332,20.36881360557831
1988-12-31,27.24202541285787,100.9963,0.4466817948736548,50.0,-23.333333333333332,22.32918181231501
1989-01-31,27.944206982951115,100.979,0.3690285363224177,38.46153846153847,-9.999999999999998,26.66246140190064
1989-02-28,23.50979948915736,100.9337,0.2282426596741658,30.76923076923077,-36.66666666666667,21.434149795102382
1989-03-31,22.6215519351588,100.8678,0.05082516932961312,30.76923076923077,-16.666666666666668,15.437178699400675
1989-04-30,25.98043019227473,100.7849,-0.14747331102446992,23.076923076923077,-30.0,6.04475910176528
1989-05-31,25.898923322006265,100.6953,-0.33955692106903257,23.076923076923077,-30.0,-1.3325889896807577
1989-06-30,19.01847546642569,100.6188,-0.4840264192739312,23.076923076923077,-30.0,-2.090422903009107
1989-07-31,22.313360446848968,100.5637,-0.5654300982523779,15.384615384615385,-16.666666666666668,-4.389075931222064
1989-08-31,29.972269217736258,100.53,-0.5878849221018783,23.076923076923077,-28.57142857142857,-1.82925871536645
1989-09-30,19.43594887432503,100.5182,-0.555276072679959,38.46153846153847,-28.57142857142857,-2.1462295125377904
1989-10-31,7.212538538399834,100.5253,-0.4790822381179538,30.76923076923077,-9.999999999999998,-4.097773685002841
1989-11-30,8.456366184850793,100.5544,-0.35858157891188114,53.84615384615385,-43.333333333333336,-4.486873116512498
1989-12-31,5.509156862999796,100.6018,-0.20548156959799257,61.53846153846154,-28.57142857142857,-4.280865782619205
1990-01-31,1.8412572263448903,100.653,-0.05147407731831777,53.333333333333336,-21.42857142857143,-3.5947287054974852
1990-02-28,-2.1852550524719074,100.6858,0.05850226420290028,53.333333333333336,-28.57142857142857,-2.9929089929130344
1990-03-31,1.6091665344729444,100.6863,0.09734387407765155,46.666666666666664,-28.57142857142857,-1.1895489199530602
1990-04-30,-3.165200862769171,100.6329,0.027111037558483986,26.666666666666668,-21.42857142857143,-7.566677345918028
1990-05-31,-2.71194833395796,100.5214,-0.15419616312324536,20.0,-28.57142857142857,-5.9092419438617405
1990-06-30,-4.034504942464332,100.3381,-0.4635945250321356,20.0,-14.285714285714285,-9.36007744614604
1990-07-31,-5.826558870171148,100.0845,-0.8849948943526158,20.0,-16.666666666666668,-11.434749902557503
1990-08-31,-23.37580611761561,99.77518,-1.3774909241972466,20.0,-16.666666666666668,-18.498390063842905
1990-09-30,-30.131365976033624,99.44677,-1.8626122814897315,6.666666666666667,-9.999999999999998,-24.309615764549694
1990-10-31,-34.42086836101236,99.13481,-2.2699127301176247,13.333333333333334,-7.142857142857145,-29.897973763404615
1990-11-30,-35.93880931326003,98.88013,-2.5252870130901925,20.0,0.0,-28.437627705901775
1990-12-31,-34.8701973954819,98.71572,-2.5741361098370703,20.0,0.0,-31.003440260853562
1991-01-31,-31.921378060151376,98.65192,-2.4076975298673062,46.666666666666664,9.999999999999998,-33.47663248559011
1991-02-28,-24.878068248785294,98.69123,-2.0343981951882313,46.666666666666664,3.3333333333333326,-30.656727460443168
1991-03-31,-25.247981339361836,98.81072,-1.5126919465191406,73.33333333333333,3.3333333333333326,-22.154786520516158
1991-04-30,-13.562000840015214,98.96628,-0.9395425307340446,80.0,16.666666666666664,-15.573316529899948
1991-05-31,-8.984793083142813,99.11674,-0.4047621509409538,73.33333333333333,9.999999999999998,-10.943141725599109
1991-06-30,-3.5073933510539717,99.2515,0.06294761548943484,60.0,9.999999999999998,-4.1439465170930445
1991-07-31,1.3053964108985903,99.35353,0.4220664199134063,53.333333333333336,9.999999999999998,-1.5867575431599277
1991-08-31,12.576743713672078,99.40206,0.626771100908158,60.0,9.999999999999998,2.8996436599450512
1991-09-30,17.95251637802678,99.40449,0.6896485913149917,60.0,3.3333333333333326,3.829900963790246
1991-10-31,20.34443346569999,99.37876,0.648148654359602,40.0,3.3333333333333326,5.041715530322628
1991-11-30,14.893360707734674,99.34537,0.547618452172415,26.666666666666668,9.999999999999998,4.737504434520652
1991-12-31,16.820439631671242,99.32765,0.4419193902253511,40.0,-3.3333333333333326,4.888848357304289
1992-01-31,18.24224856652997,99.34154,0.3724700522419937,66.66666666666666,9.999999999999998,10.956708431998841
1992-02-29,14.89649668575948,99.3693,0.31687792224840905,73.33333333333333,-9.999999999999998,14.76564560820066
