date,spx_yoy
2011-05-28,22.1853970335641
2011-06-04,22.094510951284786
2011-06-11,16.432760067306408
2011-06-18,13.779741468863559
2011-06-25,17.802475915498995
2011-07-02,31.008822933766478
2011-07-09,24.661406501538742
2011-07-16,23.595147679881133
2011-07-23,21.979574650301316
2011-07-30,17.30937345105834
2011-08-06,6.930921616481522
2011-08-13,9.22493014535557
2011-08-20,4.837228183984021
2011-08-27,10.540216102952815
2011-09-03,6.288757940024392
2011-09-10,4.02685139690766
2011-09-17,8.0331245561003
2011-09-24,-1.0655793018101711
2011-10-01,-1.2929182732520306
2011-10-08,-0.8316580074257396
2011-10-15,4.114132670662229
2011-10-22,4.663255738799976
2011-10-29,8.605881650209547
2011-11-05,2.2335526718695986
2011-11-12,5.39021662210879
2011-11-19,1.326968918380489
2011-11-26,-2.583653929542218
2011-12-03,1.5979349383583363
2011-12-10,1.1923505886074048
2011-12-17,-1.9494979004644808
2011-12-24,0.6811060409151137
2011-12-31,-0.0031836663936912757
2012-01-07,0.49626886305544904
2012-01-14,-0.3209013365964908
2012-01-21,2.495814073027991
2012-01-28,3.1331769987060776
2012-02-04,2.5959881165662724
2012-02-11,1.014933603174084
2012-02-18,1.356651891693983
2012-02-25,3.474557170493253
2012-03-03,3.6695287872587468
2012-03-10,5.105496084012762
2012-03-17,9.768535801287271
2012-03-24,6.341142748300843
2012-03-31,5.708448193296944
2012-04-07,5.263626628839524
2012-04-14,3.8327438466965402
2012-04-21,3.076913387655167
2012-04-28,2.915056389070947
2012-05-05,2.1563964682129955
2012-05-12,1.1676143798364347
2012-05-19,-2.8538891800404143
2012-05-26,-0.9976733183417963
2012-06-02,-1.701328646911049
2012-06-09,4.302196301374539
2012-06-16,5.610693340174011
2012-06-23,5.248143081867229
2012-06-30,1.6787708537650214
2012-07-07,0.8096446262448431
2012-07-14,3.087818484060989
2012-07-21,1.3115057316831047
2012-07-28,7.249972086717649
2012-08-04,15.975752853265558
2012-08-11,19.26179157262251
2012-08-18,26.223598586608077
2012-08-25,19.912469946618106
2012-09-01,19.81396382841425
2012-09-08,24.57829620413705
2012-09-15,20.5393054135931
2012-09-22,28.485692511038295
2012-09-29,27.332908026061787
2012-10-06,26.437098913024194
2012-10-13,16.659590805560608
2012-10-20,15.743181215929747
2012-10-27,9.870902346122135
2012-11-03,12.844407906912414
2012-11-10,9.178304564687023
2012-11-17,11.864432819656967
2012-11-24,21.617886971156764
2012-12-01,13.815220076400392
2012-12-08,12.976522477572615
2012-12-15,15.899506127986363
2012-12-22,13.02585681866615
2012-12-29,11.516386842924442
2013-01-05,14.764315779216686
2013-01-12,14.192964638537543
2013-01-19,12.969634246579286
2013-01-26,14.178056499008896
2013-02-02,12.511712132993736
2013-02-09,13.055624527055286
2013-02-16,11.648293151694222
2013-02-23,10.972804957248483
2013-03-02,10.847451191884062
2013-03-09,13.15296557922958
2013-03-16,11.147503673184666
2013-03-23,11.43646749161762
2013-03-30,11.410961827101772
2013-04-06,11.100944017547775
2013-04-13,15.952444372780095
2013-04-20,12.819450207643413
2013-04-27,12.746551615407542
2013-05-04,17.918345828206196
2013-05-11,20.71168942355852
2013-05-18,28.740291874739988
2013-05-25,25.17643098597473
2013-06-01,27.59694065849425
2013-06-08,23.966926852383285
2013-06-15,21.141016195106687
2013-06-22,19.281361358915717
2013-06-29,17.921535575238057
2013-07-06,20.46313151050878
2013-07-13,23.836576683471367
2013-07-20,24.175504041911644
2013-07-27,22.055315784068608
2013-08-03,22.910305318389934
2013-08-10,20.311269877007554
2013-08-17,16.75903396984928
2013-08-24,17.884248385615308
2013-08-31,16.095069012887
2013-09-07,15.108628669221225
2013-09-14,15.160630094903315
2013-09-21,17.10509232541706
2013-09-28,17.427998667002086
2013-10-05,15.713958769341986
2013-10-12,19.222449542677445
2013-10-19,21.721479449422574
2013-10-26,24.634906055463766
2013-11-02,24.567958950122758
2013-11-09,28.319021392140353
2013-11-16,32.230788544162436
2013-11-23,28.07436954883926
2013-11-30,27.512744856265403
2013-12-07,27.2920260769957
2013-12-14,25.590345185991037
2013-12-21,27.141902265395878
2013-12-28,31.30066769045463
2014-01-04,24.882884184740917
2014-01-11,25.15674970316859
2014-01-18,23.736522385171032
2014-01-25,19.117613615320295
2014-02-01,17.80499970595091
2014-02-08,18.38622044131819
2014-02-15,20.97921144535153
2014-02-22,21.156639586913272
2014-03-01,22.47727644415971
2014-03-08,21.071698580032994
2014-03-15,17.968223392354975
2014-03-22,19.88772501394265
2014-03-29,18.38082478737133
2014-04-05,20.074289931132693
2014-04-12,14.2769908616865
2014-04-19,19.90676583095563
2014-04-26,17.769746430062085
2014-05-03,16.52110128980535
2014-05-10,14.983169285234466
2014-05-17,12.617319552670692
2014-05-24,15.211569921477919
2014-05-31,17.956875885076016
2014-06-07,18.623807981968366
2014-06-14,19.021599000823343
2014-06-21,23.262556527553023
2014-06-28,22.080828073040347
2014-07-05,21.665058526262193
2014-07-12,17.10401888504862
2014-07-19,16.909857670841923
2014-07-26,16.947355378991634
2014-08-02,12.60360039832591
2014-08-09,14.199306833020199
2014-08-16,18.07130626214977
2014-08-23,19.53111057493613
2014-08-30,22.682598642923946
2014-09-06,21.299317147612395
2014-09-13,17.627477091070354
2014-09-20,17.5734386153557
2014-09-27,17.207032693124713
2014-10-04,16.409347791426356
2014-10-11,11.914634777397271
2014-10-18,8.154772700809687
2014-10-25,11.63844901608182
2014-11-01,14.55518903110622
2014-11-08,14.758194111385059
2014-11-15,13.438025412385613
2014-11-22,14.336531662621233
2014-11-29,14.494879943455086
2014-12-06,14.973223301053595
2014-12-13,12.786991451323582
2014-12-20,13.877093333857871
2014-12-27,13.433799926004731
2015-01-03,12.38580716400637
2015-01-10,10.988024338926872
2015-01-17,9.828688615467552
2015-01-24,14.608249143464347
2015-01-31,11.91524851405299
2015-02-07,14.382140897867757
2015-02-14,14.051765970610797
2015-02-21,14.92444105258679
2015-02-28,13.178631060959066
2015-03-07,10.288383989916339
2015-03-14,11.529326929547734
2015-03-21,12.942806698942855
2015-03-28,10.949495857533066
2015-04-04,10.823606304074463
2015-04-11,15.77197244182047
2015-04-18,11.60039461011959
2015-04-25,13.64655541808033
2015-05-02,12.075125862256142
2015-05-09,12.64959539937205
2015-05-16,13.039843067498147
2015-05-23,11.866691176687837
2015-05-30,9.556187267517192
2015-06-06,7.355452900760517
2015-06-13,8.15790381238335
2015-06-20,7.495147181584194
2015-06-27,7.166389528406802
2015-07-04,4.60049614121949
2015-07-11,5.54237835885385
2015-07-18,7.502700613332025
2015-07-25,5.120956876662475
2015-08-01,9.28187731919483
2015-08-08,7.557509881610258
2015-08-15,6.980858714228888
2015-08-22,-0.880608003954575
2015-08-29,-0.7237804317395624
2015-09-05,-4.307892669615909
2015-09-12,-1.2334170932124966
2015-09-19,-2.6049539634506735
2015-09-26,-2.597776453077527
2015-10-03,-0.8404918368464798
2015-10-10,5.705802305562657
2015-10-17,7.756682080839594
2015-10-24,5.628172370805995
2015-10-31,3.0380841460970087
2015-11-07,3.3111493450267426
2015-11-14,-0.8226170774086827
2015-11-21,1.2439991216379953
2015-11-28,1.0906599174421272
2015-12-05,0.7863572903741289
2015-12-12,0.5014178123910362
2015-12-19,-3.1439333825548754
2015-12-26,-1.3299707022369711
2016-01-02,-0.6928388933983731
2016-01-09,-6.004471113630617
2016-01-16,-6.887625400552455
2016-01-23,-7.062999635303779
2016-01-30,-2.744374671953509
2016-02-06,-8.534297478206076
2016-02-13,-11.073489240239365
2016-02-20,-9.122874239526213
2016-02-27,-7.434067530143739
2016-03-05,-3.4409016345231636
2016-03-12,-1.519916354426476
2016-03-19,-2.775960192607152
2016-03-26,-1.2168769777745392
2016-04-02,0.28157625059825886
2016-04-09,-2.5907957665227466
2016-04-16,-0.021620003394917653
2016-04-23,-1.2329407988740715
2016-04-30,-2.0390927926354663
2016-05-07,-2.786267301033074
2016-05-14,-3.585948086547419
2016-05-21,-3.4683869788301847
2016-05-28,-0.3952678151162847
2016-06-04,0.3010184512038494
2016-06-11,0.09359397724855167
2016-06-18,-1.8374504007454329
2016-06-25,-3.0492629682971173
2016-07-02,1.2601200659590361
2016-07-09,2.565697245984988
2016-07-16,1.6504955906614827
2016-07-23,4.586354984347718
2016-07-30,3.315841834517408
2016-08-06,5.06842346411347
2016-08-13,4.423057079370629
2016-08-20,10.8062906075991
2016-08-27,9.058915081812401
2016-09-03,13.468525921626995
2016-09-10,8.503608047396671
2016-09-17,9.250618228646035
2016-09-24,12.082283788231196
2016-10-01,11.11583899475157
2016-10-08,6.891193791049899
2016-10-15,4.912178673890977
2016-10-22,3.1809754895812947
2016-10-29,2.262705941100096
2016-11-05,-0.6678744215587118
2016-11-12,6.989971002991413
